,L1Bit,L1SeedName,PS,PS_rate,error,pure_rate,prop_rate
115,152.0,L1_DoubleMu3_SQ_HTT260er,1.0,385.59,222.62,0.0,32.61
116,159.0,L1_SingleEG8er2p5,44000.0,0.0,0.0,0.0,0.0
120,163.0,L1_SingleEG28_FWD2p5,45.0,0.0,0.0,0.0,0.0
130,173.0,L1_SingleEG50,0.0,0.0,0.0,0.0,0.0
132,175.0,L1_SingleLooseIsoEG26er2p5,0.0,0.0,0.0,0.0,0.0
134,177.0,L1_SingleLooseIsoEG28_FWD2p5,0.0,0.0,0.0,0.0,0.0
140,183.0,L1_SingleIsoEG24er2p1,0.0,0.0,0.0,0.0,0.0
142,185.0,L1_SingleIsoEG26er2p5,0.0,0.0,0.0,0.0,0.0
145,188.0,L1_SingleIsoEG28_FWD2p5,0.0,0.0,0.0,0.0,0.0
154,197.0,L1_IsoEG32er2p5_Mt40,1.0,14652.32,1372.32,0.0,787.91
155,198.0,L1_IsoEG32er2p5_Mt44,1.0,14009.68,1341.88,0.0,727.9
156,199.0,L1_IsoEG32er2p5_Mt48,1.0,12852.95,1285.29,0.0,652.22
157,205.0,L1_DoubleEG_15_10_er2p5,0.0,0.0,0.0,0.0,0.0
165,214.0,L1_DoubleEG_LooseIso22_12_er2p5,1.0,5269.71,822.99,642.65,1336.84
167,217.0,L1_DoubleLooseIsoEG22er2p1,1.0,128.53,128.53,0.0,3.67
169,224.0,L1_TripleEG_16_12_8_er2p5,0.0,0.0,0.0,0.0,0.0
173,228.0,L1_TripleEG16er2p5,1.0,0.0,0.0,0.0,0.0
174,234.0,L1_LooseIsoEG26er2p1_Jet34er2p5_dR_Min0p3,0.0,0.0,0.0,0.0,0.0
177,238.0,L1_LooseIsoEG24er2p1_HTT100er,0.0,0.0,0.0,0.0,0.0
181,247.0,L1_DoubleEG8er2p5_HTT260er,0.0,0.0,0.0,0.0,0.0
182,248.0,L1_DoubleEG8er2p5_HTT280er,0.0,0.0,0.0,0.0,0.0
183,249.0,L1_DoubleEG8er2p5_HTT300er,1.0,899.71,340.06,128.53,196.97
184,250.0,L1_DoubleEG8er2p5_HTT320er,1.0,771.18,314.83,0.0,68.44
185,251.0,L1_DoubleEG8er2p5_HTT340er,1.0,642.65,287.4,0.0,42.73
186,257.0,L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3,1.0,6297.95,899.71,1028.24,1727.89
187,258.0,L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3,1.0,5141.18,812.89,0.0,673.96
188,259.0,L1_LooseIsoEG22er2p1_Tau70er2p1_dR_Min0p3,1.0,514.12,257.06,0.0,26.95
189,264.0,L1_SingleTau120er2p1,1.0,2313.53,545.3,0.0,118.62
191,267.0,L1_DoubleTau70er2p1,1.0,1799.41,480.91,0.0,226.94
192,269.0,L1_DoubleIsoTau28er2p1,0.0,0.0,0.0,0.0,0.0
197,274.0,L1_DoubleIsoTau28er2p1_Mass_Max90,0.0,0.0,0.0,0.0,0.0
198,275.0,L1_DoubleIsoTau28er2p1_Mass_Max80,0.0,0.0,0.0,0.0,0.0
201,279.0,L1_Mu18er2p1_Tau24er2p1,1.0,4370.0,749.45,257.06,1399.55
202,280.0,L1_Mu18er2p1_Tau26er2p1,1.0,2056.47,514.12,0.0,500.92
203,282.0,L1_Mu22er2p1_IsoTau28er2p1,0.0,0.0,0.0,0.0,0.0
204,283.0,L1_Mu22er2p1_IsoTau30er2p1,0.0,0.0,0.0,0.0,0.0
205,284.0,L1_Mu22er2p1_IsoTau32er2p1,1.0,514.12,257.06,0.0,42.73
206,285.0,L1_Mu22er2p1_IsoTau34er2p1,1.0,385.59,222.62,0.0,29.88
207,286.0,L1_Mu22er2p1_IsoTau36er2p1,1.0,385.59,222.62,0.0,29.88
208,287.0,L1_Mu22er2p1_IsoTau40er2p1,1.0,385.59,222.62,0.0,29.88
209,289.0,L1_Mu22er2p1_Tau70er2p1,1.0,257.06,181.77,0.0,17.03
210,291.0,L1_IsoTau40er2p1_ETMHF80,0.0,0.0,0.0,0.0,0.0
211,292.0,L1_IsoTau40er2p1_ETMHF90,1.0,5012.65,802.67,0.0,945.11
212,293.0,L1_IsoTau40er2p1_ETMHF100,1.0,3727.36,692.15,0.0,341.02
213,294.0,L1_IsoTau40er2p1_ETMHF110,1.0,2570.59,574.8,0.0,157.87
214,298.0,L1_QuadJet36er2p5_IsoTau52er2p1,190.0,0.0,0.0,0.0,0.0
215,309.0,L1_SingleJet35,64000.0,0.0,0.0,0.0,0.0
228,324.0,L1_SingleJet35_FWD3p0,103000.0,0.0,0.0,0.0,0.0
232,329.0,L1_SingleJet8erHE,0.0,0.0,0.0,0.0,0.0
235,332.0,L1_SingleJet140er2p5_ETMHF70,0.0,0.0,0.0,0.0,0.0
236,333.0,L1_SingleJet140er2p5_ETMHF80,0.0,0.0,0.0,0.0,0.0
237,334.0,L1_SingleJet140er2p5_ETMHF90,0.0,0.0,0.0,0.0,0.0
238,340.0,L1_DoubleJet40er2p5,8400.0,0.0,0.0,0.0,0.0
242,345.0,L1_DoubleJet100er2p3_dEta_Max1p6,0.0,0.0,0.0,0.0,0.0
244,348.0,L1_DoubleJet30er2p5_Mass_Min150_dEta_Max1p5,0.0,0.0,0.0,0.0,0.0
245,349.0,L1_DoubleJet30er2p5_Mass_Min200_dEta_Max1p5,0.0,0.0,0.0,0.0,0.0
246,350.0,L1_DoubleJet30er2p5_Mass_Min250_dEta_Max1p5,0.0,0.0,0.0,0.0,0.0
247,351.0,L1_DoubleJet30er2p5_Mass_Min300_dEta_Max1p5,1.0,1413.82,426.28,0.0,203.81
